17:37:48.517 [main] INFO  at.jku.dke.slotmachine.optimizer.OptimizerApplication - Starting OptimizerApplication using Java 17 on DESKTOP-AQQHG1H with PID 19696 (C:\Users\pc\Documents\GitHub\SlotMachine-Optimizer\target\classes started by pc in C:\Users\pc\Documents\GitHub\SlotMachine-Optimizer)
17:55:30.979 [http-nio-8080-exec-1] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Instantiate at.jku.dke.slotmachine.optimizer.optimization.optaplanner.OptaplannerOptimizationFactory for optimization framework OPTAPLANNER
17:55:30.979 [http-nio-8080-exec-1] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Create a new optimization with the specified characteristics
18:00:19.565 [http-nio-8080-exec-3] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Converting base data ...
18:00:19.565 [http-nio-8080-exec-3] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Done. Converting flights ...
18:00:19.565 [http-nio-8080-exec-3] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Done. Converting slots ...
18:00:19.565 [http-nio-8080-exec-3] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Done.
18:00:19.565 [http-nio-8080-exec-3] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Starting process to initialize optimization session.
18:00:19.565 [http-nio-8080-exec-3] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Read the factory class from the JSON properties file.
18:00:19.565 [http-nio-8080-exec-3] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Instantiate at.jku.dke.slotmachine.optimizer.optimization.optaplanner.OptaplannerOptimizationFactory for optimization framework OPTAPLANNER
18:00:19.565 [http-nio-8080-exec-3] INFO  at.jku.dke.slotmachine.optimizer.service.OptimizationService - Create a new optimization with the specified characteristics
18:00:43.804 [http-nio-8080-exec-6] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Converting base data ...
18:00:43.804 [http-nio-8080-exec-6] INFO  at.jku.dke.slotmachine.optimizer.rest.legacy.LegacyEndpoint - Done. Converting flights ...
